Customer_ID,Product_ID,Zipcode,Trip_ID,Start_Station,End_Station,Duration,Trip_Cost
32540,1,96825,208844,17,76,0:11:41,0
16757,5,96814,208845,37,82,0:05:50,NULL
12165,3,96817,208846,68,5,0:09:48,NULL
28801,4,96814,208847,99,11,0:24:20,0
28897,3,96814,208848,68,38,0:12:08,NULL
4451,2,96826,208849,33,78,0:18:33,0
676,3,96813,208850,7,57,0:12:09,NULL
674,5,96813,208851,67,66,0:06:37,NULL
25475,4,96826,208852,18,104,0:15:44,0
25475,4,96826,208853,18,104,0:15:16,0
5225,6,96815,208854,27,44,0:43:27,NULL
5199,1,96815,208855,27,44,0:43:14,0
33001,4,96816,208856,69,99,0:29:48,0
33001,4,96816,208857,69,99,0:29:35,0
33001,4,96816,208858,69,69,0:00:28,NULL
33001,4,96816,208859,69,69,0:00:23,NULL
33001,4,96816,208860,69,69,0:00:26,NULL
33001,4,96816,208861,69,99,0:28:42,0
33002,4,,208862,18,48,0:08:28,0
33001,4,96816,208863,69,99,0:27:58,0
16058,2,96816,208864,11,76,0:19:40,0
2633,3,96826,208865,45,30,0:07:49,NULL
23549,2,96817,208867,69,37,0:09:28,0
33003,4,,208868,89,44,0:36:03,3.5
33003,4,,208869,89,44,0:35:34,3.5
24641,3,96701,208870,16,13,0:09:26,NULL
2234,8,96814,208871,59,95,0:12:15,0
499,3,96813,208872,52,81,0:20:51,NULL
14941,1,96817,208874,56,55,0:39:36,0
4451,2,96826,208875,78,30,0:07:04,0
33004,4,8922,208876,24,42,0:24:13,0
31632,2,91031,208877,16,89,0:10:03,0
9807,3,92264,208878,11,52,0:13:53,NULL
2698,6,96822,208879,36,76,0:06:32,NULL
19614,2,96815,208880,42,94,0:15:35,0
